Episode 31950 | Score:  242.090 | Avg:  224.570 | Best:  439.114 | Buf: 4,000,000

Episode 32000 | Score:  225.402 | Avg:  213.912 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 32000: Avg=213.912, Buffer=4,000,000



Episode 32050 | Score:  244.002 | Avg:  217.640 | Best:  439.114 | Buf: 4,000,000

Episode 32100 | Score:  244.016 | Avg:  225.013 | Best:  439.114 | Buf: 4,000,000

Episode 32150 | Score:  238.822 | Avg:  217.833 | Best:  439.114 | Buf: 4,000,000

Episode 32200 | Score:  231.713 | Avg:  210.656 | Best:  439.114 | Buf: 4,000,000

Episode 32250 | Score:  233.415 | Avg:  212.299 | Best:  439.114 | Buf: 4,000,000

Episode 32300 | Score:  238.959 | Avg:  224.741 | Best:  439.114 | Buf: 4,000,000

Episode 32350 | Score:  235.305 | Avg:  224.813 | Best:  439.114 | Buf: 4,000,000

Episode 32400 | Score:  215.296 | Avg:  215.180 | Best:  439.114 | Buf: 4,000,000

Episode 32450 | Score:  235.220 | Avg:  215.437 | Best:  439.114 | Buf: 4,000,000

Episode 32500 | Score:  236.367 | Avg:  222.210 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 32500: Avg=222.210, Buffer=4,000,000



Episode 32550 | Score:  237.254 | Avg:  222.413 | Best:  439.114 | Buf: 4,000,000

Episode 32600 | Score:  237.362 | Avg:  220.768 | Best:  439.114 | Buf: 4,000,000

Episode 32650 | Score:  244.433 | Avg:  220.484 | Best:  439.114 | Buf: 4,000,000

Episode 32700 | Score:  241.843 | Avg:  220.272 | Best:  439.114 | Buf: 4,000,000

Episode 32750 | Score:  242.587 | Avg:  222.334 | Best:  439.114 | Buf: 4,000,000

Episode 32800 | Score:  241.661 | Avg:  220.682 | Best:  439.114 | Buf: 4,000,000

Episode 32850 | Score:  178.592 | Avg:  216.873 | Best:  439.114 | Buf: 4,000,000

Episode 32900 | Score:  151.195 | Avg:  210.664 | Best:  439.114 | Buf: 4,000,000

Episode 32950 | Score:  226.825 | Avg:  212.594 | Best:  439.114 | Buf: 4,000,000

Episode 33000 | Score:  215.015 | Avg:  221.462 | Best:  439.114 | Buf: 4,000,000



  Checkpoint at ep 33000: Avg=221.462, Buffer=4,000,000



Episode 33050 | Score:  241.921 | Avg:  230.499 | Best:  439.114 | Buf: 4,000,000

Episode 33100 | Score:  239.040 | Avg:  232.372 | Best:  439.114 | Buf: 4,000,000

Episode 33150 | Score:  236.708 | Avg:  230.790 | Best:  439.114 | Buf: 4,000,000

Episode 33200 | Score:  208.546 | Avg:  227.722 | Best:  439.114 | Buf: 4,000,000

Episode 33250 | Score:  243.625 | Avg:  227.367 | Best:  439.114 | Buf: 4,000,000

Episode 33300 | Score:  239.371 | Avg:  232.051 | Best:  439.114 | Buf: 4,000,000

Episode 33350 | Score:  225.115 | Avg:  226.386 | Best:  439.114 | Buf: 4,000,000

Episode 33400 | Score:  213.125 | Avg:  223.627 | Best:  439.114 | Buf: 4,000,000

Episode 33450 | Score:  236.686 | Avg:  225.531 | Best:  439.114 | Buf: 4,000,000

Episode 33500 | Score:  206.670 | Avg:  226.429 | Best:  439.114 | Buf: 4,000,000

